player_name,position,player_id,partidos,titularidades,rating_prom,rating_max,minutos_total,minutos_prom,goles,asistencias,xG_total,tiros_arco,tiros_fuera,tiros_totales,pase_pct_prom,pases_precisos_total,pases_totales_total,duelos_ganados,duelos_totales,duelos_pct_prom,recuperaciones,dribbles,centros,intercepciones,entradas_total,entradas_ganadas,amarillas,rojas,g_a_per90_prom,passes_per90_prom,recoveries_per90_prom,duelos_aereos_ganados,duelos_aereos_total,duelos_aereos_pct,faltas_cometidas,faltas_recibidas,grandes_ocasiones_falladas,grandes_ocasiones_creadas,palos,despejes,regates_intentados,regates_ganados,toques_malos,fueras_juego,atajadas,contribuciones_gol,position_group,foto_url,team
Kevin Castañeda,M,942708,4,1,"6,53","6,7","135,0","45,0",0,0,0,1,2,"3,0","81,43","40,0","47,0","2,0","8,0","16,67","2,0","18,0","11,0","1,0","0,0","0,0",0,0,"0,0","35,77","1,47","1,0","1,0","100,0","2,0","1,0","1,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0",0,MID,https://api.sofascore.app/api/v1/player/942708/image,México
César Huerta,M,905257,2,0,"6,5","6,5","45,0","45,0",0,0,0,0,0,"0,0","66,7","6,0","9,0","2,0","4,0","50,0","2,0","5,0","0,0","0,0","1,0","1,0",0,0,"0,0","12,0","4,0","1,0","1,0","100,0","1,0","0,0","0,0","0,0","0,0","3,0","1,0","0,0","3,0","1,0","0,0",0,MID,https://api.sofascore.app/api/v1/player/905257/image,México
Luis Gabriel Rey,M,1097368,1,0,"6,5","6,5","19,0","19,0",0,0,0,0,0,"0,0","93,3","14,0","15,0","0,0","2,0","0,0","1,0","2,0","0,0","0,0","0,0","0,0",0,0,"0,0","66,3","4,7","0,0","0,0",,"2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,MID,https://api.sofascore.app/api/v1/player/1097368/image,México
Denzell Garcia,M,1192342,5,0,"6,5","6,5","32,0","32,0",0,0,0,0,0,"0,0","100,0","10,0","10,0","0,0","0,0",,"0,0","3,0","1,0","0,0","0,0","0,0",0,0,"0,0","28,1","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,MID,https://api.sofascore.app/api/v1/player/1192342/image,México
Diego Lainez,M,874535,4,1,"6,4","6,5","68,0","34,0",0,0,0,0,0,"0,0","68,25","11,0","17,0","3,0","11,0","15,0","1,0","8,0","0,0","0,0","1,0","0,0",0,0,"0,0","18,55","0,8","0,0","0,0",,"3,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0",0,MID,https://api.sofascore.app/api/v1/player/874535/image,México
Jorge Ruvalcaba,M,1153541,2,1,"6,3","6,3","60,0","60,0",0,0,0,0,0,"0,0","66,7","4,0","6,0","0,0","4,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0",0,0,"0,0","6,0","0,0","0,0","0,0",,"2,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0",0,MID,https://api.sofascore.app/api/v1/player/1153541/image,México
Fidel Ambríz,M,1005192,2,0,,,"0,0",,0,0,0,0,0,"0,0",,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0","0,0","0,0",0,0,,,,"0,0","0,0",,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,MID,https://api.sofascore.app/api/v1/player/1005192/image,México
Jesús Angulo,D,869277,2,0,,,"0,0",,0,0,0,0,0,"0,0",,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0","0,0","0,0",0,0,,,,"0,0","0,0",,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,DEF,https://api.sofascore.app/api/v1/player/869277/image,México
Oscar García,G,1183649,1,0,,,"0,0",,0,0,0,0,0,"0,0",,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0","0,0","0,0",0,0,,,,"0,0","0,0",,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,GK,https://api.sofascore.app/api/v1/player/1183649/image,México
Ángel Sepúlveda,F,134449,2,0,,,"0,0",,0,0,0,0,0,"0,0",,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0","0,0","0,0",0,0,,,,"0,0","0,0",,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,FWD,https://api.sofascore.app/api/v1/player/134449/image,México
